Date,Reason,Description
2008-03-03,,Suspicious outlier. Too low.
2008-03-04,,Suspicious outlier. Too low.
2008-09-30,,Suspicious outlier. Too low.
2008-10-21,,No projectcounts files for 20081021-150000 -- 20081022-110000.
2008-10-22,,No projectcounts files for 20081021-150000 -- 20081022-110000.
2009-10-14,,No projectcounts files for 20091014-230000 -- 20091016-010000.
2009-10-15,,No projectcounts files for 20091014-230000 -- 20091016-010000.
2009-10-16,,No projectcounts files for 20091014-230000 -- 20091016-010000.
2009-11-18,,Shaky numbers. No clear weekly pattern.
2009-11-19,,Shaky numbers. No clear weekly pattern.
2009-11-20,,Shaky numbers. No clear weekly pattern.
2009-11-21,,Shaky numbers. No clear weekly pattern.
2009-11-22,,Shaky numbers. No clear weekly pattern. No projectcounts files for 20091122-060000 -- 20091122-140000.
2009-11-23,,Shaky numbers. No clear weekly pattern.
2009-11-24,,Shaky numbers. No clear weekly pattern.
2009-11-25,,Shaky numbers. No clear weekly pattern.
2009-11-26,,Shaky numbers. No clear weekly pattern.
2009-11-27,,Shaky numbers. No clear weekly pattern.
2009-11-28,,Shaky numbers. No clear weekly pattern.
2009-11-29,,Shaky numbers. No clear weekly pattern.
2009-11-30,,Shaky numbers. No clear weekly pattern.
2009-12-01,,Shaky numbers. No clear weekly pattern.
2009-12-02,,Shaky numbers. No clear weekly pattern.
2009-12-03,,Shaky numbers. No clear weekly pattern.
2009-12-04,,Shaky numbers. No clear weekly pattern.
2009-12-05,,Shaky numbers. No clear weekly pattern.
2009-12-06,,Shaky numbers. No clear weekly pattern.
2009-12-07,,Shaky numbers. No clear weekly pattern.
2009-12-08,,Shaky numbers. No clear weekly pattern.
2009-12-09,,Shaky numbers. No clear weekly pattern.
2009-12-10,,Shaky numbers. No clear weekly pattern.
2009-12-11,,Shaky numbers. No clear weekly pattern.
2009-12-12,,Shaky numbers. No clear weekly pattern.
2009-12-13,,Shaky numbers. No clear weekly pattern.
2009-12-14,,Shaky numbers. No clear weekly pattern.
2009-12-15,,Shaky numbers. No clear weekly pattern.
2009-12-16,,Shaky numbers. No clear weekly pattern.
2009-12-17,,Shaky numbers. No clear weekly pattern.
2009-12-18,,Shaky numbers. No clear weekly pattern.
2009-12-19,,Shaky numbers. No clear weekly pattern.
2009-12-20,,Shaky numbers. No clear weekly pattern.
2009-12-21,,Shaky numbers. No clear weekly pattern.
2009-12-22,,Shaky numbers. No clear weekly pattern.
2009-12-23,,Shaky numbers. No clear weekly pattern.
2009-12-24,,Shaky numbers. No clear weekly pattern.
2009-12-25,,Shaky numbers. No clear weekly pattern.
2009-12-26,,Shaky numbers. No clear weekly pattern.
2009-12-27,,Shaky numbers. No clear weekly pattern.
2009-12-28,,Shaky numbers. No clear weekly pattern.
2009-12-29,,Shaky numbers. No clear weekly pattern.
2009-12-30,,Shaky numbers. No clear weekly pattern.
2009-12-31,,Shaky numbers. No clear weekly pattern.
2010-01-01,,Shaky numbers. No clear weekly pattern.
2010-01-02,,Shaky numbers. No clear weekly pattern.
2010-01-03,,Shaky numbers. No clear weekly pattern.
2010-01-04,,Shaky numbers. No clear weekly pattern.
2010-01-05,,Shaky numbers. No clear weekly pattern.
2010-01-06,,Shaky numbers. No clear weekly pattern.
2010-01-07,,Shaky numbers. No clear weekly pattern.
2010-01-08,,Shaky numbers. No clear weekly pattern.
2010-01-09,,Shaky numbers. No clear weekly pattern.
2010-01-10,,Shaky numbers. No clear weekly pattern.
2010-01-11,,Shaky numbers. No clear weekly pattern.
2010-01-12,,Shaky numbers. No clear weekly pattern.
2010-01-13,,Shaky numbers. No clear weekly pattern.
2010-01-14,,Shaky numbers. No clear weekly pattern.
2010-01-15,,Shaky numbers. No clear weekly pattern.
2010-01-16,,Shaky numbers. No clear weekly pattern.
2010-01-17,,Shaky numbers. No clear weekly pattern.
2010-01-18,,Shaky numbers. No clear weekly pattern.
2010-01-19,,Shaky numbers. No clear weekly pattern.
